path,subset,damage_type,location,lon,lat
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\83.2924_12.0342.jpg,test,notdamage,83.2924_12.0342,83.2924,12.0342
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\87.0575_14.0137.jpg,test,notdamage,87.0575_14.0137,87.0575,14.0137
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\94.6389_35.7553.jpg,test,notdamage,94.6389_35.7553,94.6389,35.7553
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\95.6567_32.7686.jpg,test,notdamage,95.6567_32.7686,95.6567,32.7686
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\84.0593_19.8129.jpg,test,notdamage,84.0593_19.8129,84.0593,19.8129
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\79.1947_27.7819.jpg,test,notdamage,79.1947_27.7819,79.1947,27.7819
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\93.5133_13.5384.jpg,test,notdamage,93.5133_13.5384,93.5133,13.5384
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\89.5858_24.9574.jpg,test,notdamage,89.5858_24.9574,89.5858,24.9574
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\93.5154_19.8478.jpg,test,notdamage,93.5154_19.8478,93.5154,19.8478
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\84.8382_30.7737.jpg,test,notdamage,84.8382_30.7737,84.8382,30.7737
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\68.2762_27.5077.jpg,test,notdamage,68.2762_27.5077,68.2762,27.5077
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\82.4978_33.5293.jpg,test,notdamage,82.4978_33.5293,82.4978,33.5293
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\85.1028_36.6727.jpg,test,notdamage,85.1028_36.6727,85.1028,36.6727
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\88.1214_12.9327.jpg,test,notdamage,88.1214_12.9327,88.1214,12.9327
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\77.2802_8.3884.jpg,test,notdamage,77.2802_8.3884,77.2802,8.3884
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\82.3531_36.9211.jpg,test,notdamage,82.3531_36.9211,82.3531,36.9211
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\94.1262_31.1361.jpg,test,notdamage,94.1262_31.1361,94.1262,31.1361
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\86.6674_30.8133.jpg,test,notdamage,86.6674_30.8133,86.6674,30.8133
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\71.6289_21.0777.jpg,test,notdamage,71.6289_21.0777,71.6289,21.0777
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\70.1702_16.3474.jpg,test,notdamage,70.1702_16.3474,70.1702,16.3474
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\76.8618_30.7525.jpg,test,notdamage,76.8618_30.7525,76.8618,30.7525
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\90.5107_36.5205.jpg,test,notdamage,90.5107_36.5205,90.5107,36.5205
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\92.229_14.7054.jpg,test,notdamage,92.229_14.7054,92.229,14.7054
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\83.5203_20.1113.jpg,test,notdamage,83.5203_20.1113,83.5203,20.1113
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\89.5532_31.5617.jpg,test,notdamage,89.5532_31.5617,89.5532,31.5617
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\68.1254_35.1578.jpg,test,notdamage,68.1254_35.1578,68.1254,35.1578
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\78.923_23.3697.jpg,test,notdamage,78.923_23.3697,78.923,23.3697
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\69.4674_32.106.jpg,test,notdamage,69.4674_32.106,69.4674,32.106
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\84.3557_36.5702.jpg,test,notdamage,84.3557_36.5702,84.3557,36.5702
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\90.8516_29.6541.jpg,test,notdamage,90.8516_29.6541,90.8516,29.6541
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\94.3045_36.699.jpg,test,notdamage,94.3045_36.699,94.3045,36.699
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\92.2054_18.5039.jpg,test,notdamage,92.2054_18.5039,92.2054,18.5039
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\81.7513_13.4378.jpg,test,notdamage,81.7513_13.4378,81.7513,13.4378
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\78.3053_12.4815.jpg,test,notdamage,78.3053_12.4815,78.3053,12.4815
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\77.3041_12.9427.jpg,test,notdamage,77.3041_12.9427,77.3041,12.9427
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\95.7621_12.7913.jpg,test,notdamage,95.7621_12.7913,95.7621,12.7913
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\73.139_28.7209.jpg,test,notdamage,73.139_28.7209,73.139,28.7209
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\96.0785_18.7091.jpg,test,notdamage,96.0785_18.7091,96.0785,18.7091
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\91.0605_16.2862.jpg,test,notdamage,91.0605_16.2862,91.0605,16.2862
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\85.1862_18.1195.jpg,test,notdamage,85.1862_18.1195,85.1862,18.1195
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\94.2875_22.9598.jpg,test,notdamage,94.2875_22.9598,94.2875,22.9598
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\75.1548_15.9983.jpg,test,notdamage,75.1548_15.9983,75.1548,15.9983
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\80.8468_12.09.jpg,test,notdamage,80.8468_12.09,80.8468,12.09
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\93.0557_17.9814.jpg,test,notdamage,93.0557_17.9814,93.0557,17.9814
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\78.667_27.5011.jpg,test,notdamage,78.667_27.5011,78.667,27.5011
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\90.8972_10.8319.jpg,test,notdamage,90.8972_10.8319,90.8972,10.8319
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\78.5649_9.8147.jpg,test,notdamage,78.5649_9.8147,78.5649,9.8147
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\72.7061_13.3892.jpg,test,notdamage,72.7061_13.3892,72.7061,13.3892
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\83.5902_21.6986.jpg,test,notdamage,83.5902_21.6986,83.5902,21.6986
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\82.6658_23.8415.jpg,test,notdamage,82.6658_23.8415,82.6658,23.8415
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\80.0909_35.4267.jpg,test,notdamage,80.0909_35.4267,80.0909,35.4267
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\77.2331_32.6863.jpg,test,notdamage,77.2331_32.6863,77.2331,32.6863
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\80.6274_8.3327.jpg,test,notdamage,80.6274_8.3327,80.6274,8.3327
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\95.8595_13.072.jpg,test,notdamage,95.8595_13.072,95.8595,13.072
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\96.5779_33.1831.jpg,test,notdamage,96.5779_33.1831,96.5779,33.1831
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\89.1633_25.6377.jpg,test,notdamage,89.1633_25.6377,89.1633,25.6377
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\79.5567_8.0066.jpg,test,notdamage,79.5567_8.0066,79.5567,8.0066
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\79.1972_17.9451.jpg,test,notdamage,79.1972_17.9451,79.1972,17.9451
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\84.3495_19.3175.jpg,test,notdamage,84.3495_19.3175,84.3495,19.3175
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\92.8996_23.2046.jpg,test,notdamage,92.8996_23.2046,92.8996,23.2046
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\73.7678_13.4315.jpg,test,notdamage,73.7678_13.4315,73.7678,13.4315
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\92.851_25.8759.jpg,test,notdamage,92.851_25.8759,92.851,25.8759
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\81.4204_23.0544.jpg,test,notdamage,81.4204_23.0544,81.4204,23.0544
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\91.4991_29.6381.jpg,test,notdamage,91.4991_29.6381,91.4991,29.6381
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\93.9651_9.8909.jpg,test,notdamage,93.9651_9.8909,93.9651,9.8909
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\84.4224_30.6124.jpg,test,notdamage,84.4224_30.6124,84.4224,30.6124
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\69.3942_36.3142.jpg,test,notdamage,69.3942_36.3142,69.3942,36.3142
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\79.7397_32.2264.jpg,test,notdamage,79.7397_32.2264,79.7397,32.2264
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test\notdamage\92.6063_32.1407.jpg,test,notdamage,92.6063_32.1407,92.6063,32.1407
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\76.51_34.7676.jpg,test_another,damage,76.51_34.7676,76.51,34.7676
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\85.6013_19.4009.jpg,test_another,damage,85.6013_19.4009,85.6013,19.4009
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\83.9461_26.4731.jpg,test_another,damage,83.9461_26.4731,83.9461,26.4731
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\76.0591_34.1839.jpg,test_another,damage,76.0591_34.1839,76.0591,34.1839
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\81.6475_32.2794.jpg,test_another,damage,81.6475_32.2794,81.6475,32.2794
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\90.7167_20.8221.jpg,test_another,damage,90.7167_20.8221,90.7167,20.8221
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\96.5601_27.6638.jpg,test_another,damage,96.5601_27.6638,96.5601,27.6638
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\68.6872_14.927.jpg,test_another,damage,68.6872_14.927,68.6872,14.927
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\77.0461_9.529.jpg,test_another,damage,77.0461_9.529,77.0461,9.529
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\96.7566_25.6381.jpg,test_another,damage,96.7566_25.6381,96.7566,25.6381
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\85.9532_9.6519.jpg,test_another,damage,85.9532_9.6519,85.9532,9.6519
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\71.7939_22.8566.jpg,test_another,damage,71.7939_22.8566,71.7939,22.8566
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\68.3288_31.9444.jpg,test_another,damage,68.3288_31.9444,68.3288,31.9444
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\89.547_17.2135.jpg,test_another,damage,89.547_17.2135,89.547,17.2135
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\68.2978_12.3175.jpg,test_another,damage,68.2978_12.3175,68.2978,12.3175
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\81.9377_27.9077.jpg,test_another,damage,81.9377_27.9077,81.9377,27.9077
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\72.2899_15.7649.jpg,test_another,damage,72.2899_15.7649,72.2899,15.7649
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\88.8334_19.7393.jpg,test_another,damage,88.8334_19.7393,88.8334,19.7393
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\70.6532_12.6164.jpg,test_another,damage,70.6532_12.6164,70.6532,12.6164
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\92.8554_25.6702.jpg,test_another,damage,92.8554_25.6702,92.8554,25.6702
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\75.8541_9.6254.jpg,test_another,damage,75.8541_9.6254,75.8541,9.6254
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\68.784_15.7383.jpg,test_another,damage,68.784_15.7383,68.784,15.7383
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\79.7546_34.9563.jpg,test_another,damage,79.7546_34.9563,79.7546,34.9563
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\75.2992_24.8229.jpg,test_another,damage,75.2992_24.8229,75.2992,24.8229
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\80.321_13.3497.jpg,test_another,damage,80.321_13.3497,80.321,13.3497
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\83.088_26.1578.jpg,test_another,damage,83.088_26.1578,83.088,26.1578
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\82.2692_23.7405.jpg,test_another,damage,82.2692_23.7405,82.2692,23.7405
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\70.2655_17.1139.jpg,test_another,damage,70.2655_17.1139,70.2655,17.1139
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\74.9533_15.8166.jpg,test_another,damage,74.9533_15.8166,74.9533,15.8166
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\89.6001_33.0084.jpg,test_another,damage,89.6001_33.0084,89.6001,33.0084
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\88.8583_30.4671.jpg,test_another,damage,88.8583_30.4671,88.8583,30.4671
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\68.9259_36.6451.jpg,test_another,damage,68.9259_36.6451,68.9259,36.6451
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\70.4516_12.8909.jpg,test_another,damage,70.4516_12.8909,70.4516,12.8909
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\69.0115_34.2022.jpg,test_another,damage,69.0115_34.2022,69.0115,34.2022
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\71.6247_11.1295.jpg,test_another,damage,71.6247_11.1295,71.6247,11.1295
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\79.856_18.2357.jpg,test_another,damage,79.856_18.2357,79.856,18.2357
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\84.8129_27.6397.jpg,test_another,damage,84.8129_27.6397,84.8129,27.6397
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\90.2934_24.6863.jpg,test_another,damage,90.2934_24.6863,90.2934,24.6863
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\82.3453_32.3338.jpg,test_another,damage,82.3453_32.3338,82.3453,32.3338
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\84.5551_12.4633.jpg,test_another,damage,84.5551_12.4633,84.5551,12.4633
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\68.1709_36.4994.jpg,test_another,damage,68.1709_36.4994,68.1709,36.4994
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\79.3513_31.7568.jpg,test_another,damage,79.3513_31.7568,79.3513,31.7568
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\95.0052_27.1688.jpg,test_another,damage,95.0052_27.1688,95.0052,27.1688
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\damage\89.2598_35.2277.jpg,test_another,damage,89.2598_35.2277,89.2598,35.2277
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\89.6965_18.3936.jpg,test_another,no_damage,89.6965_18.3936,89.6965,18.3936
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\82.9216_12.0672.jpg,test_another,no_damage,82.9216_12.0672,82.9216,12.0672
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\68.5133_12.2297.jpg,test_another,no_damage,68.5133_12.2297,68.5133,12.2297
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\68.6217_24.7561.jpg,test_another,no_damage,68.6217_24.7561,68.6217,24.7561
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\76.5039_8.416.jpg,test_another,no_damage,76.5039_8.416,76.5039,8.416
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\90.4572_35.6337.jpg,test_another,no_damage,90.4572_35.6337,90.4572,35.6337
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\89.9767_18.0892.jpg,test_another,no_damage,89.9767_18.0892,89.9767,18.0892
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\72.5581_22.8624.jpg,test_another,no_damage,72.5581_22.8624,72.5581,22.8624
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\95.3692_13.4071.jpg,test_another,no_damage,95.3692_13.4071,95.3692,13.4071
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\93.8366_21.6491.jpg,test_another,no_damage,93.8366_21.6491,93.8366,21.6491
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\89.2679_18.9798.jpg,test_another,no_damage,89.2679_18.9798,89.2679,18.9798
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\79.4571_13.0619.jpg,test_another,no_damage,79.4571_13.0619,79.4571,13.0619
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\85.4174_25.1309.jpg,test_another,no_damage,85.4174_25.1309,85.4174,25.1309
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\87.2832_16.0303.jpg,test_another,no_damage,87.2832_16.0303,87.2832,16.0303
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\75.8712_11.0882.jpg,test_another,no_damage,75.8712_11.0882,75.8712,11.0882
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\83.5094_28.8627.jpg,test_another,no_damage,83.5094_28.8627,83.5094,28.8627
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\88.2447_24.3189.jpg,test_another,no_damage,88.2447_24.3189,88.2447,24.3189
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\88.6909_22.8053.jpg,test_another,no_damage,88.6909_22.8053,88.6909,22.8053
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\84.5392_15.7221.jpg,test_another,no_damage,84.5392_15.7221,84.5392,15.7221
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\77.372_34.4546.jpg,test_another,no_damage,77.372_34.4546,77.372,34.4546
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\88.7454_34.3141.jpg,test_another,no_damage,88.7454_34.3141,88.7454,34.3141
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\85.6241_20.5826.jpg,test_another,no_damage,85.6241_20.5826,85.6241,20.5826
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\90.5257_13.1597.jpg,test_another,no_damage,90.5257_13.1597,90.5257,13.1597
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\86.6245_29.7377.jpg,test_another,no_damage,86.6245_29.7377,86.6245,29.7377
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\94.4416_34.4503.jpg,test_another,no_damage,94.4416_34.4503,94.4416,34.4503
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\78.0513_36.2935.jpg,test_another,no_damage,78.0513_36.2935,78.0513,36.2935
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\79.862_25.7144.jpg,test_another,no_damage,79.862_25.7144,79.862,25.7144
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\69.0201_19.2219.jpg,test_another,no_damage,69.0201_19.2219,69.0201,19.2219
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\80.7672_15.5738.jpg,test_another,no_damage,80.7672_15.5738,80.7672,15.5738
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\81.0316_8.9889.jpg,test_another,no_damage,81.0316_8.9889,81.0316,8.9889
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\75.9593_27.1606.jpg,test_another,no_damage,75.9593_27.1606,75.9593,27.1606
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\84.5524_19.5118.jpg,test_another,no_damage,84.5524_19.5118,84.5524,19.5118
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\93.0281_23.5728.jpg,test_another,no_damage,93.0281_23.5728,93.0281,23.5728
D:\codes\Flood-Detection-Using-Deep-Learning-Model-From-Satellite-Images-\FloodDataset\test_another\no_damage\87.5387_18.4349.jpg,test_another,no_damage,87.5387_18.4349,87.5387,18.4349
